	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
84	[2.3652384281158447, 1.1419156789779663]	[0, 1.8580843210220337]	[0.0, 0.26369129801615543]	1	2.0	1	0.13184564900807771
85	[1.162126064300537, 1.0407145023345947]	[0, 1.9592854976654053]	[0.0, 0.07977133396883573]	1	2.0	1	0.03988566698441787
86	[1.0198419094085693, 1.0309703350067139]	[1.9801580905914307, 0]	[0.0392901174481608, 0.0]	1	2.0	1	0.0196450587240804
87	[1.5935382843017578, 1.7671005725860596]	[1.4064617156982422, 0]	[0.8347888736716413, 0.0]	1	2.0	1	0.41739443683582067
88	[1.2230368852615356, 0.8177072405815125]	[0, 2.1822927594184875]	[0.0, -0.3978161689733817]	1	2.0	1	-0.19890808448669084
89	[1.6476956605911255, 1.6964551210403442]	[1.3523043394088745, 0]	[0.8758816524336765, 0.0]	1	2.0	1	0.4379408262168383
90	[1.6384843587875366, 1.714440107345581]	[1.3615156412124634, 0]	[0.8693064411587414, 0.0]	1	2.0	1	0.4346532205793707
91	[1.638756513595581, 1.1908583641052246]	[0, 1.8091416358947754]	[0.0, 0.34528981306152673]	1	2.0	1	0.17264490653076336
92	[1.7175536155700684, 1.601619839668274]	[0, 1.398380160331726]	[0.0, 0.8412932478540682]	1	2.0	1	0.4206466239270341
93	[0.9820250868797302, 1.7575507164001465]	[2.0179749131202698, 0]	[-0.0362729237422208, 0.0]	1	2.0	1	-0.0181364618711104
94	[1.6247674226760864, 0.9884843230247498]	[0, 2.0115156769752502]	[0.0, -0.023163964766698797]	1	2.0	1	-0.011581982383349398
95	[1.6637585163116455, 2.174957275390625]	[1.3362414836883545, 0]	[0.886941664647054, 0.0]	1	2.0	1	0.443470832323527
96	[2.2776939868927, 2.3387527465820312]	[0.7223060131072998, 0]	[0.9228860496436369, 0.0]	1	2.0	1	0.4614430248218184
97	[1.7235075235366821, 1.9533634185791016]	[1.2764924764633179, 0]	[0.9235519104591816, 0.0]	1	2.0	1	0.4617759552295908
98	[0.9105085730552673, 1.0067124366760254]	[2.0894914269447327, 0]	[-0.18699156938606976, 0.0]	1	2.0	1	-0.09349578469303488
99	[1.621941089630127, 1.7557775974273682]	[1.378058910369873, 0]	[0.8570714602899443, 0.0]	1	2.0	1	0.42853573014497215
100	[1.2681337594985962, 1.8312386274337769]	[1.7318662405014038, 0]	[0.46437180601434136, 0.0]	1	2.0	1	0.23218590300717068
101	[1.2163653373718262, 1.67598295211792]	[1.7836346626281738, 0]	[0.3859167155276282, 0.0]	1	2.0	1	0.1929583577638141
102	[1.6037485599517822, 1.614093542098999]	[1.3962514400482178, 0]	[0.8429847962597137, 0.0]	1	2.0	1	0.42149239812985684
103	[0.9200539588928223, 1.0962214469909668]	[2.0799460411071777, 0]	[-0.16628345170306602, 0.0]	1	2.0	1	-0.08314172585153301
104	[1.5871235132217407, 2.044687509536743]	[1.4128764867782593, 0]	[0.8295330066656419, 0.0]	1	2.0	1	0.41476650333282095
105	[1.6333274841308594, 2.269566059112549]	[1.3666725158691406, 0]	[0.8655512661061948, 0.0]	1	2.0	1	0.4327756330530974
106	[1.6660135984420776, 1.7190723419189453]	[1.3339864015579224, 0]	[0.8884530835743902, 0.0]	1	2.0	1	0.4442265417871951
107	[0.8531984686851501, 1.8444100618362427]	[2.14680153131485, 0]	[-0.31515375222608455, 0.0]	1	2.0	1	-0.15757687611304227
108	[1.6161328554153442, 1.7888118028640747]	[1.3838671445846558, 0]	[0.852646015308423, 0.0]	1	2.0	1	0.4263230076542115
109	[1.3332393169403076, 2.2217209339141846]	[1.6667606830596924, 0]	[0.5554301915257724, 0.0]	1	2.0	1	0.2777150957628862
110	[0.9775147438049316, 1.9798591136932373]	[2.0224852561950684, 0]	[-0.04547609913629458, 0.0]	1	2.0	1	-0.02273804956814729
111	[1.243603229522705, 1.6740655899047852]	[1.756396770477295, 0]	[0.4278639256115184, 0.0]	1	2.0	1	0.2139319628057592
112	[1.611029863357544, 1.7325602769851685]	[1.388970136642456, 0]	[0.8487022328003491, 0.0]	1	2.0	1	0.42435111640017453
113	[1.6517919301986694, 1.7438275814056396]	[1.3482080698013306, 0]	[0.8787511401252317, 0.0]	1	2.0	1	0.43937557006261585
