	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
48	[1.2670114040374756, 1.535659909248352]	[0.7169850991913554, 0.2448047704009449]	[0.1914431980090325, 0.1311321010965338]	1	1.9249809167141596	1.4729266600306228	-0.5380321773418261
49	[1.4751055240631104, 1.2112785577774048]	[0.2502898607739106, 0.7190475970347463]	[0.11891409547067171, 0.15191933927480972]	1	1.9249809167141596	1.4729266600306228	-0.7638533555662111
50	[1.533446192741394, 1.307565450668335]	[0.2760149937477088, 0.6812832538021204]	[0.14723914755425496, 0.2095391909884388]	1	1.9249809167141596	1.4729266600306228	-0.3887571026982932
51	[1.3894035816192627, 1.6204862594604492]	[0.67396795752047, 0.2674283975103136]	[0.2624455365550901, 0.16593564604467662]	1	1.9249809167141596	1.4729266600306228	-0.07625505413162643
52	[2.2982981204986572, 1.3395357131958008]	[0.01976545631387748, 0.9150561345779908]	[0.02566145478310545, 0.3106942372681308]	1	1.9249809167141596	1.4729266600306228	-0.47788930058482254
53	[1.2301218509674072, 1.925137996673584]	[0.9025139097689123, 0.05598699993400279]	[0.20768817143985366, 0.05179570095870742]	1	1.9249809167141596	1.4729266600306228	-0.8133871629233697
54	[1.480941891670227, 2.077697992324829]	[0.8214871289424992, 0.07549692047293098]	[0.3950875737763493, 0.081362879620385]	1	1.9249809167141596	1.4729266600306228	0.13353752876053795
55	[1.7168816328048706, 1.7516388893127441]	[0.4561132400094007, 0.39691100468856116]	[0.326979204241859, 0.2983337467201155]	1	1.9249809167141596	1.4729266600306228	0.783230094139758
56	[1.3288636207580566, 2.244842052459717]	[0.9141735428403419, 0.02343209581165853]	[0.30063842129969526, 0.029169258243617737]	1	1.9249809167141596	1.4729266600306228	-0.5064673179766337
57	[1.667724370956421, 1.328893780708313]	[0.19444941778247748, 0.7540769567189493]	[0.12983861517164708, 0.24801122124031413]	1	1.9249809167141596	1.4729266600306228	-0.29679307058155807
58	[1.5055302381515503, 1.5798505544662476]	[0.531576314658948, 0.39487351789784203]	[0.2687279009452614, 0.22896762829710143]	1	1.9249809167141596	1.4729266600306228	0.22625912119367123
59	[1.6096605062484741, 1.3082468509674072]	[0.21983844017473733, 0.7340282641269236]	[0.13402681472980527, 0.22626190093819643]	1	1.9249809167141596	1.4729266600306228	-0.3734364816064005
60	[1.9328136444091797, 2.209517240524292]	[0.4773387492377988, 0.15781319453853213]	[0.44526809829423064, 0.19087777957656865]	1	1.9249809167141596	1.4729266600306228	0.8305091079214226
61	[1.2446547746658325, 1.5809135437011719]	[0.7637876398498413, 0.19899002862875131]	[0.18686429292001097, 0.11559600269192558]	1	1.9249809167141596	1.4729266600306228	-0.6258217041611037
62	[2.163999557495117, 2.2444865703582764]	[0.27383748081089265, 0.19845983622057267]	[0.3187467064894567, 0.24698060093200572]	1	1.9249809167141596	1.4729266600306228	0.5231756798663372
63	[1.8227230310440063, 1.6328041553497314]	[0.27550748367403755, 0.5889199670057728]	[0.22666635204361127, 0.37267100228967975]	1	1.9249809167141596	1.4729266600306228	0.6698627095602466
64	[1.2682512998580933, 1.5249298810958862]	[0.7083459065714469, 0.2537166816862757]	[0.19001471018695013, 0.13318346754961952]	1	1.9249809167141596	1.4729266600306228	-0.5353136980584922
65	[1.18675696849823, 1.2592839002609253]	[0.5596465404320592, 0.4187180072409422]	[0.10451789132161347, 0.10856683802691386]	1	1.9249809167141596	1.4729266600306228	-1.015890673025788
66	[2.190229654312134, 1.6509509086608887]	[0.08484355780019733, 0.7335707489361574]	[0.1009833184711404, 0.47751854558704027]	1	1.9249809167141596	1.4729266600306228	0.5789287043596576
67	[1.9854909181594849, 1.5155292749404907]	[0.1177008533523842, 0.7712347773172143]	[0.11599312203839598, 0.39759410555923436]	1	1.9249809167141596	1.4729266600306228	0.29561653788044673
68	[1.2286487817764282, 1.5126988887786865]	[0.7316637572874478, 0.23489077819185208]	[0.1672940267737392, 0.1204282409633235]	1	1.9249809167141596	1.4729266600306228	-0.6901440640251848
69	[1.3654892444610596, 1.4377399682998657]	[0.5470366966886884, 0.40973597629006847]	[0.19993602896522253, 0.17935781327252912]	1	1.9249809167141596	1.4729266600306228	-0.2904908798705017
70	[1.2490019798278809, 1.7730882167816162]	[0.8528831620947596, 0.10482346163239972]	[0.21236959592345855, 0.08103778303026807]	1	1.9249809167141596	1.4729266600306228	-0.6653320761086053
71	[1.4684181213378906, 2.0846002101898193]	[0.8303534286610389, 0.07060656101550533]	[0.38895259309988, 0.07657989091819739]	1	1.9249809167141596	1.4729266600306228	0.08588735729110744
72	[1.855877161026001, 1.2355432510375977]	[0.07396947244752716, 0.8844695736784953]	[0.06330878208098055, 0.2083308388280708]	1	1.9249809167141596	1.4729266600306228	-0.7603348524821592
73	[1.2447917461395264, 1.3079866170883179]	[0.5478252219774793, 0.42546250075063047]	[0.1341030926671408, 0.1310367563041226]	1	1.9249809167141596	1.4729266600306228	-0.7887023296756048
74	[2.2727997303009033, 2.278942108154297]	[0.20187452636459582, 0.19697500379123184]	[0.2569458427114802, 0.25191962660245865]	1	1.9249809167141596	1.4729266600306228	0.27500898861446954
75	[1.5335419178009033, 1.2203543186187744]	[0.21483553959642399, 0.7519149356288004]	[0.11462376580806796, 0.16568770329976393]	1	1.9249809167141596	1.4729266600306228	-0.7224876082467484
76	[1.2877817153930664, 1.2312227487564087]	[0.43256694122793526, 0.5423833061184972]	[0.12448485636890695, 0.12541135892030758]	1	1.9249809167141596	1.4729266600306228	-0.8552313456102668
77	[1.3857892751693726, 1.9474947452545166]	[0.839320603991853, 0.08874533640860047]	[0.323800887448737, 0.08408573991299327]	1	1.9249809167141596	1.4729266600306228	-0.16570108914169063
78	[1.5925860404968262, 2.245173454284668]	[0.787708065331886, 0.05790350340439623]	[0.46678480350243756, 0.07209990534923608]	1	1.9249809167141596	1.4729266600306228	0.4060243690158144
79	[1.9752528667449951, 1.82541823387146]	[0.26833628948241345, 0.4886172860282898]	[0.2616957355694386, 0.40331361727253695]	1	1.9249809167141596	1.4729266600306228	0.9564802921114771
80	[1.9361969232559204, 1.38247811794281]	[0.09144932338898865, 0.8377001308515273]	[0.08561457519060685, 0.3204019694485379]	1	1.9249809167141596	1.4729266600306228	-0.1738628415063215
81	[1.1852376461029053, 2.175441265106201]	[0.9456510680966823, 0.018012377765412885]	[0.1751701778889276, 0.02117249210814773]	1	1.9249809167141596	1.4729266600306228	-1.0889593885698692
82	[2.2454352378845215, 2.279261350631714]	[0.22014072223488534, 0.19228190249952865]	[0.2741710127646748, 0.24597880629358254]	1	1.9249809167141596	1.4729266600306228	0.3242581833675648
83	[2.229064464569092, 1.2144840955734253]	[0.01629274829777184, 0.942976719938926]	[0.02002483796295993, 0.2022535089228957]	1	1.9249809167141596	1.4729266600306228	-0.9757662289204183
84	[1.6977107524871826, 2.1395227909088135]	[0.680618838649763, 0.11625130700649165]	[0.4748750820712785, 0.13247101380683468]	1	1.9249809167141596	1.4729266600306228	0.7048159041177561
85	[2.214783191680908, 1.2222638130187988]	[0.01774630758118262, 0.94035266960715]	[0.02155791616402012, 0.20900636992929192]	1	1.9249809167141596	1.4729266600306228	-0.9396032383195833
86	[2.2864294052124023, 1.2022130489349365]	[0.012405075199576713, 0.948584718963847]	[0.015958253510606594, 0.1918162081947694]	1	1.9249809167141596	1.4729266600306228	-1.0390667010003103
87	[1.6808024644851685, 1.6754616498947144]	[0.4346835233363106, 0.4440696822444175]	[0.2959336139584565, 0.2999520402370358]	1	1.9249809167141596	1.4729266600306228	0.6547981771620619
88	[1.9287033081054688, 1.7248913049697876]	[0.24927648365029678, 0.5632990554597949]	[0.23150389499892943, 0.40833058740049943]	1	1.9249809167141596	1.4729266600306228	0.846607581197571
89	[1.3714555501937866, 1.343820333480835]	[0.45499809147275955, 0.5081791745647876]	[0.16901156640513676, 0.1747223332668807]	1	1.9249809167141596	1.4729266600306228	-0.44568799592147
90	[1.7054682970046997, 1.9887871742248535]	[0.6135602617132105, 0.1975522243643784]	[0.4328473129405765, 0.19533710569108798]	1	1.9249809167141596	1.4729266600306228	0.795762271331712
91	[1.4854685068130493, 2.2195305824279785]	[0.8469139632366038, 0.044941013050816256]	[0.4111500571315958, 0.05480693982076533]	1	1.9249809167141596	1.4729266600306228	0.08774009321736446
92	[2.032193183898926, 2.211474895477295]	[0.3808675921259563, 0.18592157428791567]	[0.39312893256040826, 0.22523931977742676]	1	1.9249809167141596	1.4729266600306228	0.7529207876408169
93	[1.8231792449951172, 2.1300666332244873]	[0.5599130776336061, 0.16405996483834517]	[0.4609088245093243, 0.1853986921117965]	1	1.9249809167141596	1.4729266600306228	0.8748583648271778
94	[1.3478506803512573, 1.3216350078582764]	[0.4578343966411054, 0.5084517018242206]	[0.15925800635981593, 0.1635358671117872]	1	1.9249809167141596	1.4729266600306228	-0.537078235664646
95	[1.338805913925171, 1.2181437015533447]	[0.37155631609012835, 0.6020552949980329]	[0.12588547724758561, 0.1313345705906618]	1	1.9249809167141596	1.4729266600306228	-0.8232673544438303
96	[1.7705825567245483, 1.8698841333389282]	[0.4827083964650804, 0.3244743313465255]	[0.3719666703004686, 0.28225507251410054]	1	1.9249809167141596	1.4729266600306228	0.9093990584384715
97	[2.042006492614746, 1.9361109733581543]	[0.2695134148595297, 0.41166101970366786]	[0.2808347281304015, 0.38536039784841086]	1	1.9249809167141596	1.4729266600306228	0.9616554571384619
98	[1.861472725868225, 1.3465657234191895]	[0.10618376373537193, 0.8328047517767914]	[0.09147441638805845, 0.2886215812664622]	1	1.9249809167141596	1.4729266600306228	-0.2869899684987502
99	[2.124798059463501, 1.602036714553833]	[0.09310326899705844, 0.7535193335427888]	[0.10472237629759966, 0.45364630391889443]	1	1.9249809167141596	1.4729266600306228	0.491059831585813
100	[1.184391975402832, 1.4473923444747925]	[0.7207034734186096, 0.2516970810511575]	[0.13289193714333988, 0.11260734718893922]	1	1.9249809167141596	1.4729266600306228	-0.8744212248607793
101	[1.284600853919983, 2.2143654823303223]	[0.9246979669650478, 0.02243020859591061]	[0.26316983101632474, 0.027238471080342726]	1	1.9249809167141596	1.4729266600306228	-0.6784211883356676
102	[1.2405096292495728, 1.5488276481628418]	[0.7466752947177877, 0.21753469083163263]	[0.1795825983023906, 0.11938905276295583]	1	1.9249809167141596	1.4729266600306228	-0.6410474760125873
103	[1.8508621454238892, 2.045422315597534]	[0.4975320596984869, 0.22847329107611433]	[0.42333119573222106, 0.2388510770089809]	1	1.9249809167141596	1.4729266600306228	0.9441418391549207
104	[1.5434141159057617, 2.221736192703247]	[0.8147837224073916, 0.05403513048383933]	[0.4427649761664183, 0.06601667458954903]	1	1.9249809167141596	1.4729266600306228	0.2746431725436287
105	[1.2407152652740479, 2.198594093322754]	[0.9348863898024256, 0.020265292657047053]	[0.22504142532238777, 0.024289860078193573]	1	1.9249809167141596	1.4729266600306228	-0.8576969145386977
106	[2.064923048019409, 2.2587244510650635]	[0.36269467542433, 0.1670604551197785]	[0.38624191925328777, 0.21028307966532286]	1	1.9249809167141596	1.4729266600306228	0.6575885207349444
107	[1.4022520780563354, 1.8206685781478882]	[0.781801490012974, 0.14663329215563947]	[0.3144812739852582, 0.12033733538251253]	1	1.9249809167141596	1.4729266600306228	-0.04815967497468056
108	[1.709126591682434, 1.6741191148757935]	[0.4060582119849919, 0.4670920912772579]	[0.2879466758895806, 0.31487570713730845]	1	1.9249809167141596	1.4729266600306228	0.6850727004538334
109	[1.9362584352493286, 1.3353817462921143]	[0.07790077679027557, 0.8617305892074016]	[0.07293525938237062, 0.2890087098417109]	1	1.9249809167141596	1.4729266600306228	-0.36621232544355453
110	[2.227274179458618, 2.2582457065582275]	[0.2290656890538351, 0.20237505945522852]	[0.2811264055756684, 0.2546375496740073]	1	1.9249809167141596	1.4729266600306228	0.3924042131890601
111	[1.974790334701538, 1.1999424695968628]	[0.04151354061136785, 0.920954943916519]	[0.04046699814720116, 0.18413800587410908]	1	1.9249809167141596	1.4729266600306228	-0.9656118121410754
