	prices_history	quantities_history	rewards_history	costs_history	monopoly_history	nash_history	metric_history
78	[10.57116413116455, 2.933952569961548]	[0, 0.06604743003845215]	[0.0, 0.12773259706222007]	1	2.0	1	0.06386629853111003
79	[6.653361797332764, 8.492711067199707]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
80	[3.697535753250122, 7.37101411819458]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
81	[3.3335070610046387, 8.631702423095703]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
82	[6.931161403656006, 4.100387096405029]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
83	[4.987987518310547, 3.177095651626587]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
84	[4.742457866668701, 4.423418045043945]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
85	[8.343249320983887, 6.181805610656738]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
86	[9.823309898376465, 6.17269229888916]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
87	[3.190491199493408, 10.295702934265137]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
88	[10.866756439208984, 4.193369388580322]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
89	[3.4241321086883545, 4.975594520568848]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
90	[5.206175327301025, 2.2515809535980225]	[0, 0.7484190464019775]	[0.0, 0.9367070237867097]	1	2.0	1	0.46835351189335483
91	[9.306904792785645, 5.692708492279053]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
92	[8.403143882751465, 4.002157688140869]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
93	[10.216115951538086, 9.89098834991455]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
94	[9.513469696044922, 2.259758949279785]	[0, 0.7402410507202148]	[0.0, 0.932525288269062]	1	2.0	1	0.466262644134531
95	[8.090457916259766, 3.708583116531372]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
96	[4.1879167556762695, 5.7436041831970215]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
97	[4.106668949127197, 10.716201782226562]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
98	[6.635167598724365, 2.36407208442688]	[0, 0.6359279155731201]	[0.0, 0.8674515173410668]	1	2.0	1	0.4337257586705334
99	[2.6173739433288574, 5.540265083312988]	[0.3826260566711426, 0]	[0.6188494140985767, 0.0]	1	2.0	1	0.30942470704928837
100	[2.7152554988861084, 6.031355857849121]	[0.2847445011138916, 0]	[0.4884095713131842, 0.0]	1	2.0	1	0.2442047856565921
101	[9.868664741516113, 9.73212718963623]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
102	[7.017425060272217, 10.398918151855469]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
103	[2.925050735473633, 3.4090631008148193]	[0.07494926452636719, 0]	[0.144281136799691, 0.0]	1	2.0	1	0.0721405683998455
104	[5.7488274574279785, 2.998522996902466]	[0, 0.0014770030975341797]	[0.0, 0.002951824656918234]	1	2.0	1	0.001475912328459117
105	[3.2258033752441406, 2.6317901611328125]	[0, 0.3682098388671875]	[0.0, 0.6008411922957748]	1	2.0	1	0.3004205961478874
106	[6.64776086807251, 8.71759033203125]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
107	[2.9637513160705566, 6.410327434539795]	[0.03624868392944336, 0]	[0.07118340077227003, 0.0]	1	2.0	1	0.03559170038613502
108	[6.651619911193848, 3.4472339153289795]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
109	[8.143095016479492, 4.341284275054932]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
110	[2.5282986164093018, 9.011319160461426]	[0.47170138359069824, 0]	[0.7209005719000174, 0.0]	1	2.0	1	0.3604502859500087
111	[2.9564638137817383, 2.4157865047454834]	[0, 0.5842134952545166]	[0.0, 0.8271215824715341]	1	2.0	1	0.41356079123576706
112	[2.997671365737915, 2.4168567657470703]	[0, 0.5831432342529297]	[0.0, 0.8262304368508921]	1	2.0	1	0.4131152184254461
113	[6.302798271179199, 7.254473686218262]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
114	[2.791147470474243, 8.264739036560059]	[0.20885252952575684, 0]	[0.37408567996220654, 0.0]	1	2.0	1	0.18704283998110327
115	[4.17576265335083, 7.755363464355469]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
116	[8.684367179870605, 2.500925064086914]	[0, 0.49907493591308594]	[0.0, 0.749074080169521]	1	2.0	1	0.3745370400847605
117	[4.891793251037598, 8.664112091064453]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
118	[10.762748718261719, 5.372881889343262]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
119	[4.0235748291015625, 8.230422973632812]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
120	[5.593619346618652, 6.522740364074707]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
121	[10.458032608032227, 6.714517593383789]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
122	[2.7234385013580322, 3.782379150390625]	[0.2765614986419678, 0]	[0.4766367347528444, 0.0]	1	2.0	1	0.2383183673764222
123	[2.3315887451171875, 3.5227489471435547]	[0.6684112548828125, 0]	[0.8900489041116089, 0.0]	1	2.0	1	0.44502445205580443
124	[7.914614677429199, 3.0269041061401367]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
125	[3.151576280593872, 9.20460319519043]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
126	[4.571697235107422, 3.198633909225464]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
127	[4.70855712890625, 5.218697547912598]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
128	[2.740661382675171, 4.244000434875488]	[0.2593386173248291, 0]	[0.45142071621370405, 0.0]	1	2.0	1	0.22571035810685203
129	[2.6519100666046143, 10.477349281311035]	[0.34808993339538574, 0]	[0.5750132650595674, 0.0]	1	2.0	1	0.2875066325297837
130	[5.086181640625, 10.943563461303711]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
131	[3.810664653778076, 9.929837226867676]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
132	[4.810074806213379, 6.506631851196289]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
133	[10.015690803527832, 2.5316002368927]	[0, 0.4683997631072998]	[0.0, 0.717401188135625]	1	2.0	1	0.3587005940678125
134	[4.8558502197265625, 10.492175102233887]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
135	[4.995944499969482, 5.62130880355835]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
136	[2.44069504737854, 2.6458778381347656]	[0.55930495262146, 0]	[0.8057878752160264, 0.0]	1	2.0	1	0.4028939376080132
137	[5.652363300323486, 3.9179606437683105]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
138	[8.663952827453613, 9.831303596496582]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
139	[7.531668663024902, 2.4441096782684326]	[0, 0.5558903217315674]	[0.0, 0.8027665936683093]	1	2.0	1	0.40138329683415463
140	[3.3106298446655273, 9.00490665435791]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
141	[7.328168869018555, 6.99326753616333]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
142	[5.147159099578857, 2.650362968444824]	[0, 0.3496370315551758]	[0.0, 0.5770280092756366]	1	2.0	1	0.2885140046378183
143	[3.573803424835205, 4.018247127532959]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
144	[3.6088385581970215, 2.8764166831970215]	[0, 0.12358331680297852]	[0.0, 0.23189379741393168]	1	2.0	1	0.11594689870696584
145	[7.038201332092285, 5.206082344055176]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
146	[2.444553852081299, 7.211002349853516]	[0.5554461479187012, 0]	[0.8023718725996787, 0.0]	1	2.0	1	0.40118593629983934
147	[9.444890022277832, 5.900816917419434]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
148	[10.859347343444824, 9.974274635314941]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
149	[3.2108616828918457, 9.346144676208496]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
150	[4.872203826904297, 2.3324785232543945]	[0, 0.6675214767456055]	[0.0, 0.889458031574577]	1	2.0	1	0.4447290157872885
151	[4.429276466369629, 3.8384017944335938]	[0, 0]	[0.0, 0.0]	1	2.0	1	0.0
