	prices_history	monopoly_history	nash_history	rewards_history	metric_history
64	[2.1814777851104736, 1.3016176223754883]	1.9249809213956623	1.4729266600306228	[0.032077350778430165, 0.2765051976200976]	-0.5991018641484952
65	[1.5269547700881958, 1.6018604040145874]	1.9249809213956623	1.4729266600306228	[0.2785407875114132, 0.2357690629230458]	0.2987703388198342
66	[1.7255220413208008, 1.297027826309204]	1.9249809213956623	1.4729266600306228	[0.10538393662048914, 0.23949234490392957]	-0.44070220696543033
67	[1.9550533294677734, 1.2011624574661255]	1.9249809213956623	1.4729266600306228	[0.04295070932039952, 0.1845577269489952]	-0.9529401293699593
68	[1.8030178546905518, 1.6334871053695679]	1.9249809213956623	1.4729266600306228	[0.2344603618782862, 0.3644073133193931]	0.6678128511505622
69	[1.2126760482788086, 1.800462245941162]	1.9249809213956623	1.4729266600306228	[0.18686243095435687, 0.06699695378668635]	-0.837934566567159
70	[2.0696773529052734, 2.208955764770508]	1.9249809213956623	1.4729266600306228	[0.3695827896196404, 0.2392863723606079]	0.7114631439486252
71	[2.269312858581543, 1.9150209426879883]	1.9249809213956623	1.4729266600306228	[0.15744359823884507, 0.46822592618360215]	0.7847863163587168
72	[2.113262176513672, 2.2329652309417725]	1.9249809213956623	1.4729266600306228	[0.348698658655088, 0.23925341675247785]	0.6201730214669062
73	[1.5224920511245728, 1.365952491760254]	1.9249809213956623	1.4729266600306228	[0.17309734722794967, 0.22676316002685748]	-0.20073013035486328
74	[1.1809980869293213, 1.56285560131073]	1.9249809213956623	1.4729266600306228	[0.14423633446499798, 0.09737405125975991]	-0.8913938576873435
75	[1.9578032493591309, 1.9254717826843262]	1.9249809213956623	1.4729266600306228	[0.3211141862553586, 0.35311151352862674]	0.996703935984945
76	[1.8569300174713135, 1.4635778665542603]	1.9249809213956623	1.4729266600306228	[0.13416159126726718, 0.35004849235994484]	0.16740350678246244
77	[1.4757461547851562, 2.3069396018981934]	1.9249809213956623	1.4729266600306228	[0.41054959878018704, 0.040580271952745335]	0.023028874285407428
78	[1.3949952125549316, 2.2239603996276855]	1.9249809213956623	1.4729266600306228	[0.3510373651183951, 0.03948833798496018]	-0.24147076655043298
79	[2.1865909099578857, 1.7466697692871094]	1.9249809213956623	1.4729266600306228	[0.13302707915331602, 0.48639477630402433]	0.7575191124358377
80	[2.2823593616485596, 2.2976536750793457]	1.9249809213956623	1.4729266600306228	[0.2547107002616821, 0.24245285388593554]	0.22393737952148537
81	[1.8609893321990967, 1.41947340965271]	1.9249809213956623	1.4729266600306228	[0.11601654574998434, 0.33053565340557844]	0.0030501742151537786
82	[1.2017197608947754, 2.2990469932556152]	1.9249809213956623	1.4729266600306228	[0.1914843702890481, 0.01530231369994094]	-1.0433777386967091
83	[2.0493133068084717, 2.0706088542938232]	1.9249809213956623	1.4729266600306228	[0.3345600612522681, 0.31347693395392934]	0.8824064672511246
84	[2.2982442378997803, 1.3623111248016357]	1.9249809213956623	1.4729266600306228	[0.027887868297246425, 0.3288689942587667]	-0.3888508320734468
85	[2.297844409942627, 2.14998722076416]	1.9249809213956623	1.4729266600306228	[0.21282486119534802, 0.3406802738798793]	0.46983347053888497
86	[2.0163283348083496, 1.4111807346343994]	1.9249809213956623	1.4729266600306228	[0.07630095869942333, 0.347358374013381]	-0.09686300318912325
87	[1.608076572418213, 1.747885823249817]	1.9249809213956623	1.4729266600306228	[0.34158331186862323, 0.24015969854213853]	0.5930742999463162
88	[2.285317897796631, 1.5794421434402466]	1.9249809213956623	1.4729266600306228	[0.061303494862968565, 0.46528230654189895]	0.3523472585201026
89	[1.7551289796829224, 2.004258155822754]	1.9249809213956623	1.4729266600306228	[0.4328210459020657, 0.2124960659345507]	0.8705358616062008
90	[2.080170154571533, 2.1123857498168945]	1.9249809213956623	1.4729266600306228	[0.33162940989734624, 0.3002285995452027]	0.8117952190325328
91	[1.3408976793289185, 1.2367234230041504]	1.9249809213956623	1.4729266600306228	[0.13169390388020988, 0.13872415174483102]	-0.7656662280544327
92	[1.8205536603927612, 1.3095952272415161]	1.9249809213956623	1.4729266600306228	[0.08911330986004838, 0.25957063309599115]	-0.42408412407641344
93	[1.3821219205856323, 1.529214859008789]	1.9249809213956623	1.4729266600306228	[0.2330455580535314, 0.17920259786671588]	-0.14666571942464166
94	[2.2353994846343994, 1.3043079376220703]	1.9249809213956623	1.4729266600306228	[0.027447813109929574, 0.2802110754391377]	-0.6031330670837463
95	[1.564916968345642, 1.5359827280044556]	1.9249809213956623	1.4729266600306228	[0.24581244153382611, 0.26183877420618873]	0.2697095241263244
96	[1.31386137008667, 1.2330296039581299]	1.9249809213956623	1.4729266600306228	[0.1283164861227202, 0.13163605213659693]	-0.8113417268305968
97	[1.7208728790283203, 2.020829916000366]	1.9249809213956623	1.4729266600306228	[0.442615274017504, 0.18881754865247244]	0.8099395422196614
98	[2.0159268379211426, 1.8693097829818726]	1.9249809213956623	1.4729266600306228	[0.262961256781241, 0.4044862958626328]	0.967121523517044
99	[1.287456750869751, 1.7389923334121704]	1.9249809213956623	1.4729266600306228	[0.23521136789433572, 0.09934089777429898]	-0.48576013932626877
100	[2.3011932373046875, 1.515633225440979]	1.9249809213956623	1.4729266600306228	[0.04733043702595515, 0.43430729517416805]	0.1561767866544476
101	[2.1851861476898193, 1.476716160774231]	1.9249809213956623	1.4729266600306228	[0.058938584973042246, 0.4032844127477085]	0.07144350018965558
102	[1.673362374305725, 1.3572044372558594]	1.9249809213956623	1.4729266600306228	[0.13991827303729046, 0.26288452744873536]	-0.1878888434709684
103	[2.1717581748962402, 1.9489182233810425]	1.9249809213956623	1.4729266600306228	[0.21594247201379022, 0.42642387150190797]	0.8576575862070062
104	[2.258514881134033, 1.7512034177780151]	1.9249809213956623	1.4729266600306228	[0.11019492363092587, 0.5004389046445828]	0.7191648189249134
105	[2.167753219604492, 1.7035763263702393]	1.9249809213956623	1.4729266600306228	[0.12477542839873915, 0.4813345849257728]	0.699421169658745
106	[2.2223846912384033, 1.2580920457839966]	1.9249809213956623	1.4729266600306228	[0.024079162911012936, 0.24063345255285018]	-0.7905669392178251
107	[2.2638401985168457, 1.5883692502975464]	1.9249809213956623	1.4729266600306228	[0.06729426850635033, 0.4670346484305943]	0.3861411601161585
108	[1.7223199605941772, 2.0839364528656006]	1.9249809213956623	1.4729266600306228	[0.46162817099970577, 0.16307009373599546]	0.7805473696269859
109	[1.2206230163574219, 2.081869602203369]	1.9249809213956623	1.4729266600306228	[0.20500710335501593, 0.03207409790819929]	-0.9111609415400497
110	[1.8431261777877808, 1.6187083721160889]	1.9249809213956623	1.4729266600306228	[0.2114258982148876, 0.38071962318549546]	0.6384748149300895
111	[1.5287973880767822, 2.3079941272735596]	1.9249809213956623	1.4729266600306228	[0.4420802087591589, 0.0484411214422627]	0.1949481875758369
112	[2.1453394889831543, 1.2754157781600952]	1.9249809213956623	1.4729266600306228	[0.032502703534761423, 0.2536216583057808]	-0.6971179331871606
113	[1.645195722579956, 2.2761130332946777]	1.9249809213956623	1.4729266600306228	[0.48801998183105516, 0.0773783817458508]	0.5217400438013042
114	[1.6062179803848267, 1.5843883752822876]	1.9249809213956623	1.4729266600306228	[0.2637765856106127, 0.2774795013952376]	0.41637396533234844
115	[1.428942084312439, 1.3291558027267456]	1.9249809213956623	1.4729266600306228	[0.1654612400304845, 0.18925425763885412]	-0.3977601249564133
116	[1.192401647567749, 2.0974762439727783]	1.9249809213956623	1.4729266600306228	[0.180435757013558, 0.02755708881256591]	-1.0381135896259386
117	[2.268784761428833, 1.5438059568405151]	1.9249809213956623	1.4729266600306228	[0.057403270066563296, 0.447105299182083]	0.25599381940249083
118	[1.8191882371902466, 1.2085837125778198]	1.9249809213956623	1.4729266600306228	[0.06308245567115413, 0.18472853218549815]	-0.8643320713284198
119	[2.05568790435791, 1.2691878080368042]	1.9249809213956623	1.4729266600306228	[0.04141182595390525, 0.24543405793825437]	-0.6939689364931643
120	[1.4139983654022217, 2.1896796226501465]	1.9249809213956623	1.4729266600306228	[0.3628798194224741, 0.0468487334498811]	-0.15766222556081527
