costs;pi_N;pi_M;delta;p_nash;p_monopoly;A;actions_0;prices_0;quantities_0;rewards_0;actions_1;prices_1;quantities_1;rewards_1;actions_2;prices_2;quantities_2;rewards_2;actions_3;prices_3;quantities_3;rewards_3;actions_4;prices_4;quantities_4;rewards_4;actions_5;prices_5;quantities_5;rewards_5;actions_6;prices_6;quantities_6;rewards_6;actions_7;prices_7;quantities_7;rewards_7;actions_8;prices_8;quantities_8;rewards_8;actions_9;prices_9;quantities_9;rewards_9
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.6505411863327026;1.0;2.0;0.0;0.5409371852874756;2.081874370574951;0.0;0.0;-0.884334921836853;1.0;2.0;0.0;0.9424452185630798;2.8848904371261597;0.0;0.0;-0.5418422222137451;1.0;2.0;0.0;0.41983821988105774;1.8396764397621155;0.0;0.0;0.3134424090385437;1.6268848180770874;0.0;0.0;0.4067760407924652;1.8135520815849304;0.0;0.0;-0.4394606053829193;1.0;2.0;0.0;0.7395074963569641;2.4790149927139282;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.2956182360649109;1.5912364721298218;0.0;0.0;0.16297855973243713;1.3259571194648743;0.0;0.0;0.7919158339500427;2.5838316679000854;0.0;0.0;0.5539506673812866;2.1079013347625732;0.0;0.0;-0.510648250579834;1.0;2.0;0.0;0.9163323640823364;2.832664728164673;0.0;0.0;0.539880096912384;2.079760193824768;0.0;0.0;0.2664337754249573;1.5328675508499146;0.0;0.0;-0.7382955551147461;1.0;2.0;0.0;-0.27446264028549194;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.48221829533576965;1.9644365906715393;0.0;0.0;0.2001379132270813;1.4002758264541626;0.0;0.0;0.2502719759941101;1.5005439519882202;0.0;0.0;-0.4122716188430786;1.0;2.0;0.0;-0.4201816916465759;1.0;2.0;0.0;-0.5488530397415161;1.0;2.0;0.0;0.826206386089325;2.65241277217865;0.0;0.0;0.7269794940948486;2.4539589881896973;0.0;0.0;0.08966165035963058;1.1793233007192612;0.0;0.0;-0.8541309833526611;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.874011218547821;1.0;2.0;0.0;-0.09549515694379807;1.0;2.0;0.0;0.7321733832359314;2.464346766471863;0.0;0.0;0.9703519344329834;2.940703868865967;0.0;0.0;0.5095303654670715;2.019060730934143;0.0;0.0;-0.6089584231376648;1.0;2.0;0.0;0.8526805639266968;2.7053611278533936;0.0;0.0;0.2690374255180359;1.5380748510360718;0.0;0.0;-0.7566343545913696;1.0;2.0;0.0;0.39166170358657837;1.7833234071731567;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5821551084518433;1.0;2.0;0.0;-0.46489110589027405;1.0;2.0;0.0;-0.032040562480688095;1.0;2.0;0.0;-0.9050451517105103;1.0;2.0;0.0;0.7365537285804749;2.4731074571609497;0.0;0.0;-0.5087411999702454;1.0;2.0;0.0;0.20623061060905457;1.4124612212181091;0.0;0.0;0.6596854329109192;2.3193708658218384;0.0;0.0;-0.3811521530151367;1.0;2.0;0.0;0.7751701474189758;2.5503402948379517;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5998857617378235;1.0;2.0;0.0;0.3986818194389343;1.7973636388778687;0.0;0.0;0.7837010025978088;2.5674020051956177;0.0;0.0;-0.4324062466621399;1.0;2.0;0.0;-0.9419119358062744;1.0;2.0;0.0;0.7682275772094727;2.5364551544189453;0.0;0.0;-0.6166663765907288;1.0;2.0;0.0;0.8313742280006409;2.6627484560012817;0.0;0.0;0.7715229988098145;2.543045997619629;0.0;0.0;-0.3123052716255188;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.5012544393539429;1.0;2.0;0.0;-0.5019146800041199;1.0;2.0;0.0;0.38939982652664185;1.7787996530532837;0.0;0.0;0.8739057779312134;2.7478115558624268;0.0;0.0;-0.7234596014022827;1.0;2.0;0.0;0.7195714116096497;2.4391428232192993;0.0;0.0;0.752390444278717;2.504780888557434;0.0;0.0;-0.8585337400436401;1.0;2.0;0.0;-0.7331857085227966;1.0;2.0;0.0;-0.6352720856666565;1.0;2.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.25473853945732117;1.0;2.0;0.0;0.26084813475608826;1.5216962695121765;0.0;0.0;0.8107178211212158;2.6214356422424316;0.0;0.0;-0.912606954574585;1.0;2.0;0.0;0.8484901189804077;2.6969802379608154;0.0;0.0;-0.8680905103683472;1.0;2.0;0.0;0.9219546914100647;2.8439093828201294;0.0;0.0;-0.5561816096305847;1.0;2.0;0.0;0.47279050946235657;1.9455810189247131;0.0;0.0;0.08346496522426605;1.166929930448532;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;-0.8943232297897339;1.0;2.0;0.0;0.9382194876670837;2.8764389753341675;0.0;0.0;0.7456651329994202;2.4913302659988403;0.0;0.0;-0.7655825614929199;1.0;2.0;0.0;0.5729088187217712;2.1458176374435425;0.0;0.0;-0.9237160682678223;1.0;2.0;0.0;-0.3721739649772644;1.0;2.0;0.0;0.5939556956291199;2.1879113912582397;0.0;0.0;0.7978440523147583;2.5956881046295166;0.0;0.0;0.9220097064971924;2.8440194129943848;0.0;0.0
1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.7036385536193848;2.4072771072387695;0.0;0.0;-0.5286327600479126;1.0;2.0;0.0;0.7120743989944458;2.4241487979888916;0.0;0.0;0.6594414710998535;2.318882942199707;0.0;0.0;-0.6514609456062317;1.0;2.0;0.0;0.5762715339660645;2.152543067932129;0.0;0.0;-0.07860404253005981;1.0;2.0;0.0;0.34054243564605713;1.6810848712921143;0.0;0.0;-0.43363362550735474;1.0;2.0;0.0;-0.9581053853034973;1.0;2.0;0.0
